Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
Bangladesh,North,2000,Spring,4.35,8.12,0.8,5.08,13.72,13.31,2671,Boiling,73.11,291,13,88,66.2,1276,86.04,28.76,96.88,652,16.82,825
Indonesia,North,2004,Spring,2.01,6.94,3.26,8.08,6.6,2.93,378,Filtration,68.82,290,49,30,2.94,44719,46.12,23.46,41.52,491,3.54,218
Nigeria,Central,2015,Pond,1.08,7.43,1.45,9.39,47.25,13.49,1932,Filtration,77.75,173,29,20,58.13,1123,58.46,76.86,41.12,1832,26.22,61
Ethiopia,West,2014,River,4.4,6.07,4.87,5.89,6.58,0.71,193,Chlorination,86.8,428,23,37,48.37,62993,18.14,67.5,65.46,2218,23.09,207
India,West,2001,Pond,1.23,6.66,2.26,9.59,17.54,12.01,263,Boiling,75.12,311,14,51,96.31,20270,35.62,67.44,88.59,2033,0.63,457
Bangladesh,Central,2008,Lake,4.86,7.78,0.56,6.62,15.24,12.92,1471,Filtration,85.81,86,12,18,90.37,15223,92.92,16.82,42.37,2117,8.11,557
Nigeria,West,2006,River,6.25,7.69,3.43,6.66,43.32,4.89,2015,None,43.33,4,18,9,80.17,38043,31.42,59.96,30.07,500,17.45,114
Nigeria,North,2003,River,8.27,6.88,1.53,7.2,20.5,18.74,4616,Chlorination,49.43,171,28,45,7.59,91091,25.06,79.56,41.29,2421,36.05,925
USA,North,2019,Lake,6.79,8.02,0.74,4.88,6.2,0.92,1300,None,46.08,120,21,75,41.4,31827,5.59,71.27,55.93,1409,39.61,995
India,South,2017,Well,0.65,6.59,2.11,5.68,0.51,17.83,3200,Boiling,85.88,155,1,82,70.21,62074,9.72,19.45,48.8,229,30.05,369
Indonesia,Central,2020,Well,3.07,7.15,4.82,6.87,36.1,7.64,3373,None,36.03,86,38,65,4.91,34329,58.48,85.94,88.9,450,29.97,955
China,East,2003,Spring,2.88,7.18,2.06,9.59,35.73,14.28,573,Chlorination,85.71,425,12,78,25.11,33555,66.0,15.58,95.44,2868,16.61,533
Ethiopia,East,2012,Tap,9.15,6.85,1.74,7.5,20.89,13.03,1537,Filtration,57.23,97,35,37,88.98,30264,64.16,54.55,50.28,1663,22.84,912
China,South,2000,Pond,8.68,8.39,2.22,5.33,6.32,3.36,1383,Chlorination,35.57,414,37,61,14.72,89654,53.98,85.6,85.87,543,9.31,689
Indonesia,South,2023,Tap,3.7,7.74,0.06,3.07,18.58,6.38,1380,Filtration,59.71,134,17,71,7.03,53291,49.1,75.78,25.49,2593,29.53,487
Indonesia,West,2002,Spring,0.71,7.35,0.67,9.87,29.49,10.59,3537,Filtration,51.04,6,14,45,58.9,41223,7.21,64.47,64.3,1885,2.39,223
India,South,2015,Tap,8.94,7.28,4.25,6.45,35.2,16.93,3159,None,71.44,259,34,34,94.75,23219,84.07,78.51,86.54,1717,16.69,563
Indonesia,South,2021,River,8.88,6.4,4.89,9.57,3.91,19.1,1523,Chlorination,63.08,363,16,42,83.79,99947,51.31,63.86,53.49,1320,33.25,358
USA,East,2003,River,8.55,6.93,0.79,6.85,27.82,0.41,4991,Chlorination,50.77,383,47,29,97.53,75651,13.19,14.4,31.47,2783,39.19,863
Bangladesh,West,2024,Lake,8.45,7.68,2.68,7.24,13.81,7.05,4612,Filtration,90.36,31,12,72,75.85,16382,13.58,38.07,42.73,1548,27.86,481
Indonesia,South,2022,Lake,4.8,8.31,4.83,7.98,30.86,13.36,3932,Chlorination,58.48,27,21,62,44.86,79232,51.3,44.17,59.35,2591,7.89,76
China,South,2024,Spring,1.77,8.04,0.78,5.25,32.41,10.55,3622,Boiling,62.95,439,39,29,94.77,52737,24.46,53.71,87.48,1066,22.84,955
Indonesia,West,2015,Spring,4.77,6.75,0.93,7.89,45.53,18.86,895,Boiling,89.26,259,20,82,43.81,79945,92.2,28.37,79.89,285,22.42,178
USA,Central,2018,Spring,4.95,7.08,4.63,6.69,20.52,0.34,3393,None,36.23,486,25,28,36.31,27592,49.89,80.49,26.69,1384,38.63,161
Pakistan,West,2000,River,4.9,6.21,3.53,7.71,26.88,8.75,464,None,57.29,243,45,65,45.92,22173,97.84,28.3,63.69,1240,33.61,483
Pakistan,East,2004,Tap,5.39,6.26,0.76,8.85,13.41,13.38,1610,Chlorination,58.2,364,3,91,81.77,42138,73.42,62.61,89.79,2491,1.96,206
Nigeria,Central,2018,Pond,2.58,7.18,1.97,4.29,14.33,4.35,612,None,64.71,263,6,71,91.93,20341,81.07,80.13,66.17,2181,8.8,22
Ethiopia,North,2021,Spring,3.66,7.33,0.28,7.29,2.3,14.52,3212,Chlorination,37.43,141,9,88,37.05,36012,38.89,68.63,25.2,979,33.68,750
Brazil,West,2023,Spring,4.34,6.66,2.16,3.36,14.3,1.62,604,None,37.19,29,14,73,47.3,19237,13.4,20.88,85.85,2021,38.9,895
Bangladesh,East,2010,River,1.31,7.61,3.89,3.71,3.19,9.02,620,Boiling,59.15,386,25,21,90.04,84068,68.97,86.11,92.54,2132,11.79,991
Mexico,Central,2012,Pond,4.55,7.76,2.77,7.72,48.2,13.52,2602,Filtration,32.31,129,15,34,6.61,32561,40.71,17.35,51.14,2253,27.63,171
Nigeria,West,2019,River,8.1,6.75,3.24,3.5,31.21,5.34,2183,Filtration,47.85,265,39,41,78.82,15189,94.89,26.01,44.81,580,12.31,624
Ethiopia,South,2004,Pond,8.28,7.9,1.63,7.17,8.66,1.48,3800,Boiling,44.08,69,33,23,46.51,38270,19.36,21.14,63.47,978,1.64,652
Pakistan,West,2020,River,4.12,6.51,0.81,4.54,5.84,19.14,155,Filtration,64.26,118,16,25,38.9,87750,62.65,63.35,98.73,323,33.18,617
China,North,2003,Tap,5.19,7.36,0.07,5.13,18.51,18.28,3353,Chlorination,30.78,326,37,30,45.8,4466,86.61,74.59,87.0,1283,29.55,737
Mexico,West,2003,Spring,0.34,8.01,4.11,3.91,15.38,18.53,3911,Chlorination,77.3,399,15,86,43.03,97553,40.28,29.04,84.88,700,2.13,722
Ethiopia,Central,2003,Well,6.74,7.34,3.18,4.74,13.96,19.57,2917,Boiling,89.89,69,33,1,76.15,52393,95.37,88.34,35.45,2257,5.82,652
Ethiopia,Central,2003,Well,4.05,8.27,1.15,8.75,23.41,3.69,3117,Boiling,79.47,207,28,38,92.94,47034,7.66,21.14,91.61,1170,39.98,991
Nigeria,West,2019,Spring,4.45,6.15,2.09,7.47,45.64,3.16,2715,Boiling,87.27,90,17,96,50.16,63630,58.69,35.27,64.48,2843,26.03,929
Mexico,Central,2020,Spring,8.74,7.47,4.01,9.65,28.4,0.68,4339,Boiling,75.03,119,10,87,83.61,83273,77.74,49.22,93.35,1649,32.02,495
India,South,2017,Spring,4.62,7.4,2.69,3.34,26.06,17.84,449,Filtration,65.52,459,11,11,73.73,72371,20.18,74.71,72.14,1907,15.55,723
Brazil,West,2017,Spring,0.21,7.65,1.5,8.55,40.33,15.06,4849,Filtration,45.33,469,36,72,34.41,20290,5.79,40.12,86.73,656,20.73,812
India,South,2015,Pond,2.27,8.08,1.34,7.89,0.2,12.67,4501,Filtration,49.57,206,1,43,59.56,52604,7.99,24.39,33.24,811,24.8,797
Mexico,South,2008,Tap,4.76,7.81,1.09,4.83,9.87,18.55,3961,Chlorination,52.24,405,17,42,67.35,54715,31.92,47.19,76.52,2006,32.24,882
India,East,2017,Well,4.24,7.98,4.12,8.1,24.81,11.5,1069,None,32.66,255,37,66,4.3,91631,22.32,48.12,40.58,926,13.56,949
USA,West,2021,Lake,8.6,6.72,2.91,8.02,35.27,2.59,4017,Chlorination,93.92,34,32,86,40.8,13685,22.39,11.3,33.51,2844,26.89,341
Pakistan,Central,2001,Well,5.42,6.97,3.55,6.22,24.25,3.54,4844,None,93.02,123,8,87,99.28,75812,45.85,11.67,65.92,1774,31.03,57
USA,South,2020,Well,6.9,7.57,4.3,7.82,8.19,2.64,3591,Boiling,37.54,111,14,96,64.45,11306,8.49,32.21,68.22,1728,32.21,564
Indonesia,East,2003,River,4.69,7.38,4.93,6.11,46.5,6.15,2819,Boiling,68.97,497,27,93,34.76,18755,99.55,69.3,59.25,486,19.97,981
India,West,2011,Spring,4.4,8.4,1.25,5.35,16.43,7.59,2285,Filtration,62.73,206,7,37,26.5,17510,69.58,39.28,27.12,406,18.93,602
Indonesia,West,2006,Spring,4.46,6.47,0.9,6.27,39.41,15.94,2035,Filtration,77.84,470,45,65,22.53,5266,3.03,26.9,39.58,2147,4.18,77
China,North,2014,Spring,4.11,6.88,2.31,9.27,44.57,3.83,1190,None,72.21,101,35,39,41.36,93790,69.19,19.04,38.84,749,19.91,243
Bangladesh,North,2006,River,5.39,7.43,0.18,5.69,17.32,14.51,1399,None,38.7,432,38,21,20.94,8717,79.18,32.44,45.1,2939,28.08,250
China,South,2021,Tap,2.5,8.17,3.96,5.83,42.27,9.82,3740,Filtration,76.21,385,7,74,15.25,36316,19.08,48.52,70.25,2201,36.82,465
Mexico,North,2020,Tap,8.91,8.32,4.42,7.26,35.54,19.99,2248,Boiling,72.62,193,41,62,37.68,42081,84.03,17.47,55.04,913,5.01,720
Ethiopia,South,2016,Lake,3.33,6.84,3.43,8.27,45.21,15.53,2793,Filtration,67.19,240,49,58,61.49,94097,61.18,11.19,97.47,1081,38.76,704
Pakistan,Central,2015,Tap,1.48,6.17,1.34,8.14,12.57,19.38,723,Boiling,58.17,146,49,75,16.35,74944,82.09,20.18,21.27,2847,9.36,219
India,South,2018,Tap,0.97,7.05,0.62,3.14,46.56,6.85,1441,Boiling,96.84,452,18,18,6.35,52312,71.67,69.04,37.27,442,7.03,163
Nigeria,North,2008,Spring,0.13,6.99,1.91,7.81,3.27,2.46,4820,Chlorination,89.46,131,3,19,5.39,73703,70.46,47.3,65.87,859,4.58,168
Bangladesh,Central,2013,Pond,4.23,8.47,4.17,6.15,39.68,10.12,86,Chlorination,70.96,219,26,72,28.2,51393,15.82,45.61,90.35,1196,39.61,191
Brazil,North,2016,Well,1.88,7.08,1.74,6.67,21.78,2.48,4149,None,30.45,337,12,42,20.63,41171,31.58,11.58,22.71,1170,22.44,193
Brazil,South,2004,Tap,0.22,6.76,0.17,6.93,8.89,9.85,1751,Boiling,60.25,103,37,57,54.85,20617,52.32,66.88,90.69,1740,10.82,577
Brazil,East,2001,Tap,5.2,6.91,1.37,8.12,3.97,5.4,3420,Filtration,79.02,40,20,81,46.66,31678,11.25,26.15,60.58,850,12.7,648
India,West,2019,River,6.8,6.99,4.95,8.82,19.48,9.82,4837,Boiling,38.21,55,25,53,33.83,70500,47.85,17.27,82.84,2350,38.01,574
Brazil,North,2015,Lake,0.86,8.05,3.38,7.52,19.47,18.99,2483,None,58.46,310,44,81,83.69,60618,44.53,77.36,95.89,2082,36.0,209
USA,South,2013,Pond,4.61,6.2,4.5,6.95,11.5,5.78,3212,Boiling,43.42,249,22,39,51.48,2345,23.19,48.85,37.23,1469,14.0,966
Bangladesh,Central,2013,River,7.44,6.79,3.87,5.62,10.78,19.87,3922,Boiling,53.67,241,29,99,10.97,78465,19.97,69.91,67.03,2395,2.54,555
USA,North,2000,Spring,9.86,8.42,2.7,3.97,19.98,4.59,2489,None,31.87,414,30,26,30.98,24519,24.74,75.75,90.69,1018,33.34,55
Ethiopia,North,2002,Well,6.67,6.38,0.74,9.71,20.51,4.16,1486,Boiling,38.87,126,30,12,97.39,82950,60.51,87.17,87.55,869,36.58,729
Bangladesh,West,2006,Lake,2.45,7.86,1.74,6.23,22.12,10.9,3527,Chlorination,61.83,149,15,46,97.74,57229,41.5,59.9,61.68,1399,33.5,349
USA,South,2014,River,7.17,6.89,2.92,6.96,43.44,16.84,72,None,92.87,330,41,71,26.96,81198,41.4,15.46,95.96,968,36.52,851
Bangladesh,East,2018,Tap,5.98,7.45,4.35,8.26,30.56,14.99,724,Chlorination,64.34,431,40,22,18.39,56969,18.17,54.62,76.68,618,23.04,571
Ethiopia,Central,2019,Tap,2.12,6.25,1.34,3.48,1.02,14.47,3754,None,61.72,335,6,58,50.58,90361,78.74,50.76,61.93,2145,33.59,718
Indonesia,South,2001,Lake,8.51,6.77,0.61,8.99,25.95,5.65,2995,Boiling,85.13,383,16,76,49.18,19762,70.04,14.61,24.63,732,37.76,505
India,Central,2018,Tap,4.27,7.25,2.79,8.58,38.12,0.45,4365,Chlorination,48.75,387,23,6,42.19,3904,42.91,34.5,58.98,1107,35.6,532
India,North,2008,River,9.62,6.58,0.88,8.42,2.82,3.23,218,Chlorination,36.65,148,19,49,53.88,65085,14.22,42.97,53.75,427,23.49,892
Brazil,West,2018,River,7.23,7.35,3.05,3.15,21.13,6.99,546,Filtration,44.67,168,38,65,24.76,91049,71.47,22.88,44.42,1260,29.86,240
China,West,2004,Tap,6.45,6.55,1.32,6.69,22.56,19.43,3729,Chlorination,85.39,44,26,2,13.26,50034,89.88,10.7,95.43,1826,28.85,95
Brazil,East,2017,Tap,7.28,7.63,1.15,3.38,47.7,18.4,1968,Chlorination,77.39,472,1,38,57.91,54662,17.83,70.56,94.06,1550,32.12,852
Mexico,West,2015,Spring,4.78,8.26,2.0,6.86,23.78,4.01,4516,Boiling,36.41,83,0,86,93.39,48978,60.27,78.13,46.98,377,9.15,155
USA,North,2003,Well,5.05,6.21,2.97,8.03,37.5,14.51,1259,Chlorination,76.7,7,33,6,15.5,42749,42.43,28.33,54.86,2213,0.09,987
Bangladesh,East,2011,Lake,8.51,6.54,2.73,3.85,15.15,11.58,2933,Chlorination,95.21,106,26,67,71.07,93464,8.77,10.3,80.15,667,20.4,680
China,South,2006,River,6.81,8.11,1.22,7.86,38.97,1.0,2509,Chlorination,33.15,372,36,54,44.91,5568,72.58,81.19,86.8,821,30.62,989
Ethiopia,West,2013,Lake,8.97,7.58,4.46,6.15,16.13,7.43,4008,Boiling,73.15,264,49,7,30.81,47236,7.11,20.72,28.81,2095,5.0,327
Mexico,East,2022,Spring,8.91,6.2,0.55,8.68,21.5,9.72,4072,None,56.54,145,5,31,85.6,10729,70.22,42.26,59.26,2403,21.31,544
Ethiopia,North,2011,River,9.76,7.22,0.2,6.74,23.97,13.35,4680,Boiling,65.07,30,37,18,46.74,89514,28.12,39.28,93.16,2507,12.58,369
India,Central,2002,Spring,7.0,6.52,3.01,5.35,46.32,5.9,1562,Chlorination,66.97,243,26,11,59.16,77944,56.57,23.14,73.17,2643,33.53,190
India,Central,2004,Spring,5.02,6.5,0.62,5.32,2.67,18.68,2085,None,83.97,34,47,56,45.42,43912,16.05,57.9,63.44,1802,4.01,583
Brazil,North,2016,Pond,1.66,8.35,2.52,9.28,9.84,9.04,1789,Boiling,68.99,246,15,9,9.96,89584,37.09,83.48,77.44,2507,33.92,83
USA,North,2009,Tap,7.05,7.9,4.76,6.17,35.29,4.97,3669,Boiling,71.52,413,34,77,60.3,91497,10.41,51.1,72.91,470,24.43,538
China,Central,2009,Pond,2.92,7.74,3.49,5.84,28.88,6.33,2481,None,53.3,17,26,90,43.05,44954,46.73,87.83,95.38,611,36.78,903
Pakistan,East,2010,Lake,2.83,6.6,3.09,3.28,12.58,15.04,3430,Filtration,38.82,466,34,20,10.5,69050,21.33,25.26,93.01,592,37.43,818
Mexico,Central,2016,Lake,2.38,6.3,2.87,5.55,14.46,12.81,204,Chlorination,77.79,424,35,19,60.39,37442,18.79,77.88,51.82,2442,32.36,264
Mexico,North,2004,Tap,8.75,8.18,0.9,8.95,18.37,14.84,741,Filtration,30.03,23,37,3,2.97,90920,10.72,30.55,22.56,2614,21.2,374
Brazil,West,2012,Pond,8.68,6.01,2.16,8.33,22.52,5.85,2888,Chlorination,53.01,497,27,18,22.43,58570,76.54,30.04,46.61,1093,5.7,273
India,South,2009,Lake,6.31,6.97,1.71,4.55,40.9,6.54,3494,Chlorination,45.26,341,2,28,78.54,69140,63.95,19.42,36.23,793,9.02,936
Brazil,West,2008,Pond,4.73,6.69,4.77,5.89,0.69,7.93,4263,Filtration,57.2,303,40,70,5.72,19821,15.69,79.09,30.52,2809,16.71,826
Bangladesh,West,2016,Tap,6.72,7.43,1.21,4.38,44.9,3.77,4737,Filtration,51.79,397,30,63,65.37,14517,47.24,68.0,91.04,1301,29.16,889
China,North,2000,River,6.07,6.63,2.36,9.68,20.65,13.82,1105,Chlorination,79.3,402,2,96,95.07,43173,66.09,37.33,76.79,2784,21.79,194
USA,Central,2003,Spring,4.16,6.78,4.69,7.19,11.52,6.59,1823,None,48.21,315,37,71,18.78,78099,87.81,37.95,22.61,2030,17.53,441
Indonesia,East,2003,Spring,3.8,8.13,3.95,8.28,25.42,6.52,2647,None,69.25,348,23,10,42.88,83370,5.96,77.58,93.58,2819,19.1,702
Nigeria,West,2017,Pond,3.83,7.51,4.82,8.0,32.98,5.39,4197,Filtration,61.9,277,25,32,58.4,51087,36.24,84.21,92.24,507,29.66,967
Nigeria,Central,2008,Lake,5.89,6.36,3.04,9.12,2.24,9.06,88,Filtration,86.07,29,40,24,46.14,5065,61.6,58.19,95.95,781,1.37,497
Brazil,East,2024,Pond,6.48,7.82,1.67,9.65,35.79,15.44,3381,Boiling,59.97,142,46,32,62.8,79261,1.56,42.55,86.39,2913,17.71,739
Bangladesh,West,2017,Pond,4.52,6.52,4.13,3.23,38.04,16.71,4703,None,90.47,276,27,99,41.6,24821,24.35,14.25,26.31,759,22.91,115
China,East,2013,Well,9.69,7.08,1.46,9.83,8.31,16.09,3511,None,30.01,409,8,25,16.55,60041,74.49,20.13,69.82,2813,23.55,443
Pakistan,Central,2024,Spring,0.84,7.62,0.82,9.09,8.39,12.42,2206,Chlorination,72.34,355,36,35,10.73,51852,35.57,21.34,26.65,2106,24.75,576
Nigeria,South,2014,Tap,3.47,6.68,3.53,5.68,10.19,5.61,3185,Boiling,30.69,11,26,10,74.96,31123,8.45,32.14,77.07,1595,2.14,146
China,Central,2005,Pond,4.19,6.96,3.19,8.86,39.83,14.7,4381,Chlorination,79.98,390,47,29,25.39,28127,62.66,30.56,35.76,1337,22.32,297
USA,North,2023,Well,0.17,7.84,4.39,8.16,13.6,0.79,864,Boiling,46.44,202,2,56,85.05,51322,25.01,53.43,94.86,476,22.02,352
Ethiopia,East,2009,Well,3.65,8.34,4.81,8.55,39.8,15.96,54,None,56.6,249,40,96,74.82,46129,70.17,85.53,94.73,661,34.19,361
Bangladesh,South,2014,Spring,2.74,7.32,4.29,4.54,27.03,15.6,4671,Chlorination,56.63,102,48,9,6.85,93746,90.02,78.93,67.57,2869,30.4,578
India,East,2003,Spring,5.06,6.02,0.3,7.54,38.36,13.4,2080,Boiling,89.25,467,27,92,21.72,85784,52.79,50.73,80.21,2238,1.25,621
China,East,2017,Spring,3.36,6.85,3.32,3.18,27.68,1.96,557,Chlorination,37.15,34,31,24,30.62,84535,59.91,11.38,88.65,2232,22.24,14
USA,West,2017,Tap,7.26,7.0,3.92,8.94,16.79,19.95,4826,Boiling,76.68,323,34,95,60.26,41684,51.44,15.47,51.13,2262,27.64,896
Pakistan,North,2024,Well,5.1,6.85,4.91,9.66,45.54,15.13,992,Filtration,98.69,385,6,67,81.36,1346,81.74,78.83,66.34,241,23.21,633
Indonesia,East,2016,Lake,1.3,7.09,1.87,7.63,35.76,14.7,4896,Chlorination,31.57,19,6,56,7.91,32892,24.17,32.69,34.08,219,27.05,458
India,Central,2011,Tap,7.5,7.58,0.85,6.59,24.2,1.28,4291,Filtration,97.61,46,20,33,26.46,98386,40.15,35.45,98.84,1239,4.67,507
Indonesia,Central,2006,River,0.99,6.3,4.26,8.08,31.87,7.97,447,Boiling,31.29,83,31,85,38.87,65301,89.5,21.18,94.35,846,6.77,955
Pakistan,West,2015,Pond,8.39,6.68,1.59,5.28,30.79,1.72,1821,Chlorination,88.88,267,37,76,19.97,80618,72.36,27.85,58.67,806,23.31,616
USA,North,2010,Spring,9.31,7.27,2.99,7.38,17.91,7.22,3819,Boiling,97.29,52,19,53,55.44,55087,32.01,29.78,64.27,2340,32.03,840
Nigeria,North,2013,Well,3.22,6.79,1.95,8.03,21.19,11.41,2972,Boiling,99.51,272,7,50,48.84,54039,83.26,42.97,54.94,2328,1.04,232
Indonesia,Central,2002,Pond,9.26,8.48,2.01,4.0,15.91,17.58,91,Filtration,62.14,17,3,99,33.02,24531,23.88,59.85,20.13,2137,17.45,707
India,South,2018,Tap,7.93,7.08,3.66,3.98,49.98,5.66,607,Chlorination,90.69,103,25,5,52.65,92873,63.42,38.25,38.4,2086,39.68,962
Brazil,West,2017,River,9.22,8.17,1.81,8.01,29.0,12.47,1251,None,38.56,151,14,58,36.87,7411,95.65,45.99,28.13,1721,30.63,892
Mexico,West,2009,Tap,6.66,8.24,3.47,6.02,4.6,3.29,285,Boiling,59.78,327,5,53,35.63,43043,57.47,24.55,45.83,857,18.01,146
China,Central,2005,Tap,2.36,8.09,0.07,9.22,25.96,7.08,2921,Filtration,51.56,164,47,16,28.01,94584,79.95,14.51,38.9,2742,3.92,746
Nigeria,Central,2012,Lake,8.95,6.12,1.62,5.18,2.5,18.94,3306,None,57.66,360,31,25,54.96,50868,73.54,37.86,80.93,2273,14.37,772
Indonesia,South,2009,Pond,1.84,8.37,1.6,3.3,14.43,14.95,101,Filtration,79.14,413,4,87,45.52,87526,86.57,15.0,60.38,1932,6.18,876
Ethiopia,South,2017,Lake,2.13,6.32,3.74,7.55,22.3,10.92,3835,Filtration,36.12,83,43,8,21.24,92733,96.88,33.98,85.36,2903,36.83,547
China,North,2019,Tap,2.71,6.09,1.57,7.79,26.71,5.03,4235,Filtration,99.87,307,45,1,3.27,24125,2.23,77.01,70.86,2182,27.43,712
Brazil,West,2015,River,3.04,7.04,3.17,6.88,48.81,7.59,4930,Boiling,74.45,150,5,19,16.79,78948,2.79,39.35,72.5,655,34.23,203
Pakistan,West,2024,Well,5.14,6.49,3.44,7.78,49.11,3.13,1678,None,91.15,36,2,90,6.2,75514,59.44,25.46,90.1,1300,35.9,811
Mexico,Central,2024,Well,7.13,6.46,3.29,6.67,4.9,7.07,3823,Boiling,88.08,378,28,5,44.3,61001,95.42,82.17,87.78,513,24.28,346
USA,North,2005,Pond,9.26,6.72,3.02,7.85,26.91,3.01,534,Boiling,83.62,457,18,90,24.06,33325,48.57,61.15,25.06,551,0.26,15
Brazil,West,2012,Spring,0.88,6.62,2.07,3.31,40.86,15.91,15,Chlorination,32.75,352,9,87,43.2,75912,83.98,89.06,66.27,2237,22.24,839
Brazil,North,2003,Spring,9.54,7.71,1.87,5.58,11.89,1.62,560,None,66.15,151,6,78,34.29,61332,76.79,34.02,53.05,1122,32.1,872
Pakistan,North,2022,Well,9.21,6.47,2.82,4.48,37.53,3.79,2925,Chlorination,52.97,355,44,54,54.73,82207,49.83,26.03,67.97,1424,12.58,741
Bangladesh,Central,2013,Tap,0.54,7.36,0.32,3.7,43.93,13.82,2383,Filtration,37.91,375,0,47,72.94,1804,51.32,33.84,89.01,2550,37.11,222
Pakistan,North,2000,Tap,3.6,8.47,4.38,4.64,33.12,18.05,909,None,54.01,207,0,57,48.97,51282,43.6,75.0,20.96,526,39.87,596
Bangladesh,South,2019,Lake,8.13,7.08,4.13,4.34,16.39,19.29,1413,None,75.14,49,16,96,8.07,53732,25.22,22.12,20.88,322,21.97,946
Bangladesh,South,2004,Pond,6.12,7.6,1.73,9.81,46.16,16.72,118,Boiling,46.14,219,21,41,3.72,86723,85.87,29.29,25.0,2425,21.25,831
Nigeria,East,2007,Lake,7.79,8.42,2.83,5.01,44.18,4.23,4062,Filtration,61.12,459,35,73,22.9,6503,20.96,66.13,89.99,1525,26.21,514
Nigeria,Central,2011,Spring,7.19,6.34,4.66,4.62,35.79,5.71,3113,Boiling,58.31,403,13,20,43.65,17296,90.69,69.04,48.28,1231,22.65,685
India,East,2001,Well,4.97,7.05,1.36,8.84,18.18,17.42,3060,Chlorination,33.67,46,5,5,6.4,51270,35.97,86.71,49.7,201,6.42,240
Indonesia,South,2011,Tap,0.41,8.13,3.71,5.93,39.59,17.79,1491,Filtration,73.97,17,29,29,34.12,71172,2.65,88.41,47.63,1369,10.84,761
Indonesia,East,2004,Well,5.84,8.33,0.41,5.95,15.81,12.81,2096,Boiling,73.32,484,45,22,88.93,3277,16.84,63.08,38.48,2795,8.07,100
USA,Central,2021,River,0.49,7.5,2.62,6.11,12.65,6.27,2254,Boiling,97.65,121,46,35,10.82,66775,88.78,39.02,23.11,1823,2.89,861
Indonesia,Central,2004,Well,6.04,6.36,4.42,5.92,25.75,4.48,513,Boiling,50.86,281,32,2,94.95,54551,12.84,46.24,92.52,2878,5.62,634
Nigeria,North,2012,River,8.0,8.25,2.76,5.29,49.86,17.05,1233,Filtration,59.33,493,19,89,85.95,95126,73.88,45.14,38.63,2729,38.89,349
India,West,2008,Lake,5.85,6.44,3.08,5.0,40.22,4.11,4132,Chlorination,58.25,119,15,33,83.51,27324,18.28,40.99,91.52,1265,22.2,651
India,North,2009,Lake,9.97,6.88,4.54,9.17,36.49,13.24,1479,None,94.38,250,3,29,86.64,40853,49.89,37.06,96.46,1581,5.04,622
Bangladesh,Central,2000,Spring,4.56,6.94,3.58,4.13,22.6,19.36,3349,Boiling,58.61,326,33,81,9.84,47021,20.52,23.43,66.13,1874,28.52,548
Pakistan,South,2002,Well,7.49,7.12,3.48,4.27,15.6,14.11,1540,Filtration,60.99,298,0,80,16.81,29158,33.32,39.29,49.78,2818,19.07,539
USA,South,2017,Well,6.67,7.98,2.93,7.0,42.8,5.15,129,None,47.66,46,12,41,15.17,71657,12.48,87.54,81.26,2939,8.99,726
Bangladesh,North,2011,River,9.91,8.01,3.16,5.41,28.39,5.65,3716,Boiling,30.08,84,47,20,12.9,32325,55.6,80.57,22.03,1937,37.74,219
Pakistan,Central,2002,Lake,7.13,7.8,4.02,5.95,40.66,1.86,3743,Filtration,37.73,298,7,87,34.12,24691,36.58,59.39,94.31,2468,8.98,389
Indonesia,South,2024,River,1.64,6.06,4.9,8.65,24.39,13.72,1771,Chlorination,79.27,383,21,3,83.36,12867,36.55,25.42,52.63,2296,3.9,20
Bangladesh,Central,2008,Lake,9.56,7.41,3.98,9.33,37.7,10.37,4454,Boiling,77.77,159,3,48,26.69,88752,3.86,80.29,44.69,1151,8.23,983
China,South,2001,River,6.68,7.87,3.54,8.53,43.39,4.13,3075,Filtration,52.58,6,33,47,25.93,2003,13.61,34.95,30.15,559,36.48,949
Indonesia,Central,2002,Lake,0.59,7.11,0.68,4.64,19.57,4.55,505,Boiling,63.11,244,44,88,68.24,52879,70.75,53.66,96.41,951,34.31,525
Pakistan,East,2013,River,6.58,8.36,4.09,9.86,0.68,0.18,4913,Filtration,50.82,214,36,50,11.5,1327,29.23,82.94,84.88,839,35.77,624
USA,Central,2003,Lake,8.83,8.06,3.68,5.54,12.75,19.57,4889,Chlorination,81.16,211,22,23,37.31,20115,44.21,36.78,77.92,2065,36.65,726
Pakistan,Central,2024,Pond,5.77,7.6,3.85,4.18,45.75,16.56,838,Chlorination,88.97,211,19,45,30.95,81125,76.31,83.07,94.48,2340,3.1,604
Bangladesh,North,2018,River,3.54,6.16,1.16,6.5,34.38,7.88,3871,Filtration,92.94,287,23,26,85.04,52525,44.48,28.81,96.79,2938,28.45,564
Bangladesh,East,2012,Well,8.21,7.63,4.52,8.08,36.86,18.92,4718,None,42.17,217,26,94,52.42,10309,22.56,84.3,41.48,1707,26.58,773
